iter	Passed	Remaining
720	14902	5766
721	14925	5746
722	14952	5728
723	14975	5708
724	15011	5693
725	15042	5677
726	15067	5658
727	15125	5651
728	15195	5648
729	15250	5640
730	15287	5625
731	15311	5605
732	15343	5588
733	15368	5569
734	15387	5548
735	15407	5526
736	15425	5504
737	15449	5484
738	15468	5463
739	15485	5440
740	15504	5419
741	15521	5397
742	15539	5375
743	15563	5355
744	15583	5334
745	15605	5313
746	15623	5291
747	15641	5269
748	15660	5248
749	15680	5226
750	15698	5205
751	15716	5183
752	15735	5161
753	15753	5139
754	15770	5117
755	15788	5095
756	15803	5073
757	15819	5050
758	15835	5027
759	15850	5005
760	15866	4983
761	15884	4961
762	15900	4939
763	15916	4916
764	15934	4894
765	15954	4873
766	15989	4857
767	16010	4836
768	16027	4814
769	16044	4792
770	16060	4770
771	16078	4748
772	16094	4726
773	16111	4704
774	16135	4684
775	16153	4662
776	16170	4640
777	16186	4618
778	16204	4597
779	16220	4574
780	16236	4552
781	16253	4530
782	16268	4508
783	16284	4486
784	16301	4464
785	16316	4442
786	16332	4420
787	16346	4397
788	16361	4375
789	16381	4354
790	16397	4332
791	16411	4310
792	16427	4288
793	16442	4266
794	16460	4244
795	16477	4222
796	16497	4202
797	16519	4181
798	16537	4160
799	16553	4138
800	16570	4116
801	16588	4095
802	16609	4074
803	16630	4054
804	16648	4032
805	16667	4011
806	16688	3991
807	16708	3970
808	16727	3949
809	16747	3928
810	16765	3907
811	16788	3886
812	16804	3865
813	16824	3844
814	16838	3822
815	16853	3800
816	16870	3778
817	16888	3757
818	16905	3736
819	16924	3715
820	16945	3694
821	16963	3673
822	16981	3652
823	16997	3630
824	17015	3609
825	17031	3587
826	17048	3566
827	17064	3544
828	17081	3523
829	17096	3501
830	17113	3480
831	17131	3459
832	17147	3437
833	17162	3416
834	17181	3395
835	17199	3374
836	17217	3352
837	17236	3332
838	17253	3310
839	17270	3289
840	17295	3269
841	17313	3248
842	17329	3227
843	17358	3208
844	17375	3187
845	17392	3166
846	17419	3146
847	17440	3126
848	17457	3104
849	17474	3083
850	17500	3064
851	17535	3046
852	17571	3028
853	17591	3007
854	17608	2986
855	17624	2964
856	17641	2943
857	17658	2922
858	17675	2901
859	17691	2879
860	17708	2858
861	17724	2837
862	17739	2816
863	17755	2794
864	17773	2773
865	17795	2753
866	17813	2732
